as_of,assumed_opponents,assumed_crowd_concentration,contest_share_given_actual_results,baseline_share_given_actual_results
2019-10-29,100,5.0,4.913166655766695e-14,3.086223740799268e-50
2019-10-29,1000,5.0,8.516367105703278e-124,0.0
2019-10-29,10000,5.0,0.0,0.0
2019-11-05,100,1.0,6.68103932525932e-74,6.128109931360766e-45
2019-11-05,1000,1.0,0.0,0.0
2019-11-05,10000,1.0,0.0,0.0
2019-11-05,100,2.5,3.3604028973920824e-97,9.481491624787776e-59
2019-11-05,1000,2.5,0.0,0.0
2019-11-05,10000,2.5,0.0,0.0
2019-11-05,100,5.0,2.7607015654879135e-126,6.729696403166988e-73
2019-11-05,1000,5.0,0.0,0.0
2019-11-05,10000,5.0,0.0,0.0
2019-11-19,100,1.0,5.960393406150087e-11,2.5276547087972537e-81
2019-11-19,1000,1.0,4.0057148261597593e-94,0.0
2019-11-19,10000,1.0,0.0,0.0
2019-11-19,100,2.5,1.6246552761831722e-06,1.1406838587265086e-76
2019-11-19,1000,2.5,8.976437691719068e-51,0.0
2019-11-19,10000,2.5,0.0,0.0
2019-11-19,100,5.0,0.00195688467762153,4.014366988330346e-63
2019-11-19,1000,5.0,1.067619179854779e-21,0.0
2019-11-19,10000,5.0,2.24302429448703e-195,0.0
2019-11-26,100,1.0,8.342572248579396e-10,1.7077160193334717e-19
2019-11-26,1000,1.0,5.788834293565444e-84,1.0118362698078266e-178
2019-11-26,10000,1.0,0.0,0.0
2019-11-26,100,2.5,6.9751647927341775e-12,1.3139016360515515e-25
2019-11-26,1000,2.5,1.68484774043057e-103,2.020633442338716e-238
2019-11-26,10000,2.5,0.0,0.0
2019-11-26,100,5.0,6.063237430855936e-11,3.376061285327552e-27
2019-11-26,1000,5.0,1.0312101383788343e-93,3.8264259199737115e-253
2019-11-26,10000,5.0,0.0,0.0
2019-12-03,100,1.0,5.24210684666226e-61,4.756930962882519e-06
2019-12-03,1000,1.0,0.0,5.536175779853762e-48
2019-12-03,10000,1.0,0.0,0.0
2019-12-03,100,2.5,2.803946663601879e-82,1.7879055842396335e-06
2019-12-03,1000,2.5,0.0,2.0935635753935454e-51
2019-12-03,10000,2.5,0.0,0.0
2019-12-03,100,5.0,7.535948048056205e-118,1.3738522637137589e-07
2019-12-03,1000,5.0,0.0,2.6231366645497955e-61
2019-12-03,10000,5.0,0.0,0.0
2019-12-10,100,1.0,7.811127085950062e-60,0.0003797595842786043
2019-12-10,1000,1.0,0.0,2.8705534815557214e-30
2019-12-10,10000,1.0,0.0,1.3911268226240534e-282
2019-12-10,100,2.5,2.51396932828474e-90,1.3885778731818162e-05
2019-12-10,1000,2.5,0.0,4.358375038181648e-43
2019-12-10,10000,2.5,0.0,0.0
2019-12-10,100,5.0,1.5434193579669381e-140,4.1824076091755683e-07
2019-12-10,1000,5.0,0.0,8.891293095147723e-57
2019-12-10,10000,5.0,0.0,0.0
2020-01-14,100,1.0,1.0420383949828719e-246,1.7236754245088695e-24
2020-01-14,1000,1.0,0.0,7.870666210895465e-228
2020-01-14,10000,1.0,0.0,0.0
2020-01-14,100,2.5,0.0,2.5626305433504776e-34
2020-01-14,1000,2.5,0.0,0.0
