strategy,season,matchday,points,baseline_points,changes,expected_cost,added_draws,games,better,equal,worse
baseline,2023,23,12,12,0,0.0,0.0,9,False,True,False
baseline,2023,24,19,19,0,0.0,0.0,9,False,True,False
baseline,2023,25,19,19,0,0.0,0.0,9,False,True,False
baseline,2023,26,17,17,0,0.0,0.0,9,False,True,False
baseline,2023,27,4,4,0,0.0,0.0,9,False,True,False
baseline,2023,28,14,14,0,0.0,0.0,9,False,True,False
baseline,2023,29,21,21,0,0.0,0.0,9,False,True,False
baseline,2023,30,14,14,0,0.0,0.0,9,False,True,False
baseline,2023,31,10,10,0,0.0,0.0,9,False,True,False
baseline,2023,32,8,8,0,0.0,0.0,9,False,True,False
baseline,2023,33,13,13,0,0.0,0.0,9,False,True,False
baseline,2023,34,15,15,0,0.0,0.0,9,False,True,False
baseline,2024,1,13,13,0,0.0,0.0,9,False,True,False
